Date,SPY,QQQ,EFA,EEM,TLT,IEF,GLD,SLV,DBC,USO,UUP,FXE,FXY,BTC-USD,ETH-USD
2005-05-02,-0.4613733211385808,-0.35863297036057745,-0.46836171743651844,0.2680624584014197,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-03,-0.4613733211385808,-0.35863297036057745,-0.46836171743651844,0.2680624584014197,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-04,-0.4613733211385808,-0.35863297036057745,-0.46836171743651844,0.2680624584014197,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-05,-0.4613733211385808,-0.35863297036057745,-0.46836171743651844,0.2680624584014197,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-06,-0.4613733211385808,-0.35863297036057745,-0.46836171743651844,0.2680624584014197,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-09,-0.4613733211385808,-0.35863297036057745,-0.46836171743651844,0.2680624584014197,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-10,-0.4613733211385808,-0.35863297036057745,-0.46836171743651844,0.2680624584014197,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-11,-0.4613733211385808,-0.35863297036057745,-0.46836171743651844,0.2680624584014197,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-12,-0.4613733211385808,-0.35863297036057745,-0.46836171743651844,0.2680624584014197,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-13,-0.4613733211385808,-0.35863297036057745,-0.46836171743651844,0.2680624584014197,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-16,-0.4613733211385808,-0.35863297036057745,-0.46836171743651844,0.2680624584014197,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-17,-0.4613733211385808,-0.35863297036057745,-0.46836171743651844,0.2680624584014197,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-18,-0.4613733211385808,-0.35863297036057745,-0.46836171743651844,0.2680624584014197,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-19,-0.4613733211385808,-0.35863297036057745,-0.46836171743651844,0.2680624584014197,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-20,-0.4613733211385808,-0.35863297036057745,-0.46836171743651844,0.2680624584014197,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-23,-0.4613733211385808,-0.35863297036057745,-0.46836171743651844,0.2680624584014197,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
